Date,Description,Amount,Category
2026-08-01,Monthly Salary,50000,Income
2026-08-02,Electricity Bill,2500,Bills & Utilities
2026-08-03,Swiggy Food,450,Food
2026-08-04,Petrol,2000,Transport
2026-08-05,Amazon Shopping,3000,Shopping
2026-08-07,Movie Ticket,500,Entertainment
2026-08-09,Grocery Store,4500,Groceries
2026-08-11,Mobile Recharge,699,Bills & Utilities
2026-08-13,Uber Ride,800,Transport
2026-08-15,Restaurant Dinner,1200,Food
2026-08-17,Medical Store,1000,Healthcare
2026-08-19,College Fees,8000,Education
2026-08-21,Clothes Shopping,2500,Shopping
2026-08-23,Internet Bill,999,Bills & Utilities
2026-08-25,Swiggy Food,550,Food
2026-08-27,Petrol,1800,Transport
2026-08-28,Netflix Subscription,649,Entertainment
2026-08-30,Grocery Store,3200,Groceries
