Customer_ID,Age,Spending,Visits
1,56,2795,9
2,46,1595,28
3,32,491,27
4,60,4614,6
5,25,4574,16
6,38,3661,29
7,56,2378,3
8,36,3199,20
9,40,300,28
10,28,4975,27
11,28,3204,4
12,41,4698,19
13,53,2554,26
14,57,3745,3
15,41,904,19
16,20,2831,20
17,39,2873,7
18,19,1670,20
19,41,2790,9
20,61,3940,1
21,47,1128,8
22,55,602,7
23,19,4593,18
24,38,970,8
25,50,4588,1
26,29,306,11
27,39,1584,28
28,61,963,25
29,42,2890,25
30,44,663,18
31,59,4291,23
32,45,1857,10
33,33,1778,3
34,32,3342,7
35,64,4736,28
36,61,1159,16
37,20,1822,26
38,54,3414,16
39,24,3257,25
40,38,2725,20
41,26,2829,28
42,56,1697,17
43,35,3160,2
44,21,2793,1
45,42,4991,16
46,31,3727,12
47,26,1463,5
48,43,2081,5
49,19,1763,27
50,37,1629,23
51,45,2138,9
52,64,3402,9
53,24,2337,3
54,61,1406,19
55,25,4129,16
56,64,2775,16
57,52,1382,3
58,31,809,20
59,34,4844,24
60,53,4513,22
61,57,3848,24
62,21,4879,1
63,19,763,24
64,23,2098,20
65,59,3545,11
66,21,3843,17
67,46,1595,8
68,35,3404,4
69,43,3863,6
70,61,1953,8
71,51,4759,20
72,27,1391,3
73,53,3681,16
74,31,3557,25
75,48,1736,3
76,32,3796,25
77,25,3099,29
78,31,3252,18
79,40,798,14
80,57,2260,18
81,38,4197,2
82,33,4837,22
83,62,954,3
84,35,3574,16
85,64,1807,29
86,41,2877,9
87,43,1833,4
88,42,3610,1
89,62,302,4
90,58,3355,1
91,46,4318,14
92,32,4596,21
93,62,866,16
94,18,4489,20
95,42,2427,24
96,24,3031,8
97,26,297,7
98,41,2030,3
99,18,3682,17
100,61,708,1
