Date,Description,Amount
2026-08-01,Monthly Salary,50000
2026-08-02,Electricity Bill,2500
2026-08-03,Swiggy Food,450
2026-08-04,Petrol,2000
2026-08-05,Amazon Shopping,3000
2026-08-07,Movie Ticket,500
2026-08-09,Grocery Store,4500
2026-08-11,Mobile Recharge,699
2026-08-13,Uber Ride,800
2026-08-15,Restaurant Dinner,1200
2026-08-17,Medical Store,1000
2026-08-19,College Fees,8000
2026-08-21,Clothes Shopping,2500
2026-08-23,Internet Bill,999
2026-08-25,Swiggy Food,550
2026-08-27,Petrol,1800
2026-08-28,Netflix Subscription,649
2026-08-30,Grocery Store,3200
