Date,City,Temperature,Weather
2026-08-01,Delhi,35,Sunny
2026-08-02,Delhi,36,Sunny
2026-08-03,Delhi,34,Rainy
2026-08-04,Delhi,33,Cloudy
2026-08-05,Delhi,37,Sunny
2026-08-01,Mumbai,30,Rainy
2026-08-02,Mumbai,29,Rainy
2026-08-03,Mumbai,31,Cloudy
2026-08-04,Mumbai,30,Sunny
2026-08-05,Mumbai,32,Sunny
2026-08-01,Chandigarh,32,Sunny
2026-08-02,Chandigarh,33,Sunny
2026-08-03,Chandigarh,31,Rainy
2026-08-04,Chandigarh,30,Cloudy
2026-08-05,Chandigarh,34,Sunny
2026-08-01,Bangalore,25,Rainy
2026-08-02,Bangalore,26,Cloudy
2026-08-03,Bangalore,24,Rainy
2026-08-04,Bangalore,27,Sunny
2026-08-05,Bangalore,26,Cloudy
2026-08-01,Jaipur,38,Sunny
2026-08-02,Jaipur,39,Sunny
2026-08-03,Jaipur,37,Sunny
2026-08-04,Jaipur,36,Cloudy
2026-08-05,Jaipur,40,Sunny
